"match_id","team1_id","team2_id","team1_name","team2_name","team1_players","team2_players","lane","game_type","game_end","remarks"
"27","AK0016-AS0148","AA0105-AM0105","RK-VS","RM-TA","AK0016,AS0148","AM0105,AA0105","1","Double","8",
"28","AD0065-TESTMJ","AS0079-AS0190","VD-MJ","VS-TKS","AD0065,TESTMJ","AS0190,AS0079","10","Double","8",
"29","AK0016-PP0579","PM1249-PS1432","RK-AP","CS-PM","AK0016,PP0579","PS1432,PM1249","6","Double","14",
"30","AG0078-AK0016","AM0105-PP0579","RK-SG","RM-AP","AK0016,AG0078","AM0105,PP0579","2","Double","8",
"31","AB0081-TESTMJ","AD0070-AR0018","MJ-TB","AR-AGD","TESTMJ,AB0081","AR0018,AD0070","4","Double","9",
"32","PS1432-TESTMJ","AS0173-PM1328","MJ-CS","HS-SM","TESTMJ,PS1432","AS0173,PM1328","4","Double","15",
"33","PS1432-TESTMJ","AJ0065-AL0019","RCB","AL-PJ","TESTMJ,PS1432","AL0019,AJ0065","4","Double","15",
"34","AG0078-AK0016","AM0105-PP0579","RK","Team B","AK0016,AG0078","AM0105,PP0579","2","Double","8",
"35","AK0016","AB0132","RK","RB","AK0016","AB0132","2","Singles","21",
"36","AK0016","PH0656","RK","RCH","AK0016","PH0656","14","Singles","9",
"37","AK0016","AS0079","RK","TKS","AK0016","AS0079","8","Singles","16",
"38","AI0001-AK0016","AB0081-TESTMJ","RK-SKI","MJ-TB","AK0016,AI0001","TESTMJ,AB0081","12","Pairs","15",
"39","AK0016","AA0105","RK","TA","AK0016","AA0105","11","Singles","9",
"40","AK0016-PR0586","AA0063-PL0389","RK-RKR","SL-AA","AK0016,PR0586","PL0389,AA0063","2","Pairs","16",
"41","AA0105-AK0016","AS0144-PS1432","RK-TA","CS-PS","AK0016,AA0105","PS1432,AS0144","12","Pairs","11",
"42","AK0016","AN0030","RK","CN","AK0016","AN0030","9","Singles","9",
"43","AK0016","PR0586","RK","RKR","AK0016","PR0586","6","Singles","15",
"44","AK0016","PA0513","RK","RA","AK0016","PA0513","2","Singles","9",
"45","AK0016","TESTMJ","RK","MJ","AK0016","TESTMJ","6","Singles","9",
"46","AK0016","AR0042","RK","RR","AK0016","AR0042","1","Singles","9",
"47","AK0016","AG0124","RK","KG","AK0016","AG0124","2","Singles","2",
"48","TESTMJ","AA0102","MJ","RA","TESTMJ","AA0102","4","Singles","2",
"49","AG0115-AK0016-TESTMJ","AB0033-AD0072-AS0148","RK-MJ-MG","HD-VS-TKB","AK0016,TESTMJ,AG0115","AD0072,AS0148,AB0033","8","Triple","18",
"50","TESTMJ","AV0002","Jai Ho","Purti Flyers","TESTMJ","AV0002","8","Singles","9",
"51","TESTMJ","AK0016","MJ","RK","TESTMJ","AK0016","8","Singles","2",
"52","AK0016","AK0074","RK","MK","AK0016","AK0074","8","Singles","4",
"53","AG0078-AK0016","PB1268-PB1309","RK-SG","NB-KKB","AK0016,AG0078","PB1309,PB1268","2","Pairs","15",
"54","AK0016","TESTMJ","RK","MJ","AK0016","TESTMJ","1","Singles","9",
"55","AN0032","AK0146","RN","RK","AN0032","AK0146","2","Singles","15",
"56","AN0032","AK0146","Team A","Team B","AN0032","AK0146","2","Singles","15",
"57","AK0016","TESTMJ","RK","MJ","AK0016","TESTMJ","3","Singles","9",
"58","AK0016","TESTMJ","RK","MJ","AK0016","TESTMJ","1","Singles","9",
"59","AK0016","TESTMJ","Team A","MJ","AK0016","TESTMJ","1","Singles","9",
"60","AK0016","PS1432","RK","CS","AK0016","PS1432","3","Singles","15",
"61","AS0173-PM1157","PM1328-PS1494","AM-HS","SM-DS","AS0173,PM1157","PM1328,PS1494","2","Pairs","16",
"62","AS0173","PS1192","HS","KKS","AS0173","PS1192","2","Singles","21",
"63","AK0016","AA0074","RK","MA","AK0016","AA0074","3","Singles","15",
"64","AK0016","TESTMJ","RK","MJ","AK0016","TESTMJ","3","Singles","10",
"65","AK0016","AG0078","RK","SG","AK0016","AG0078","3","Singles","15",
"66","AK0016","AK0074","RK","MK","AK0016","AK0074","3","Singles","9",
"67","AK0016-PL0389","PL0393-PS1192","LBT","AML","AK0016,PL0389","PS1192,PL0393","3","Pairs","16",
"68","PD0678-PS1432","PC0835-PP0526","CS-HD","SVP-RC","PS1432,PD0678","PP0526,PC0835","5","Pairs","9",
"69","PS1432","PM1328","CS","SM","PS1432","PM1328","5","Singles","15",
"70","AK0016-AM0105","AG0078-PR0586","CORAL","SG-RKR","AK0016,AM0105","AG0078,PR0586","2","Pairs","9",
"71","AK0016","AA0102","RK","RA","AK0016","AA0102","2","Singles","15",
"72","AB0178","AK0016","RB","RK","AB0178","AK0016","8","Singles","9",
"73","AK0016","TESTMJ","Odisha ","West Bengal ","AK0016","TESTMJ","8","Singles","9",
"74","AK0016","AS0050","RK","SS","AK0016","AS0050","2","Singles","15",
"75","AK0016-PM1361","PM1328-PS1432","RK-PKM","CS-SM","AK0016,PM1361","PS1432,PM1328","3","Pairs","18",
"76","PA0532-PM1361","AK0016-PB1138","NCOMP","RK-RB","PM1361,PA0532","AK0016,PB1138","8","Pairs","9",
"77","AK0016","PS1432","RK","CS","AK0016","PS1432","7","Singles","9",
"78","AK0016-PS1432","AG0078-PP0526","RK-CS","SG-SVP","AK0016,PS1432","AG0078,PP0526","3","Pairs","15",
"79","TESTMJ","AK0016","ForceP","RAJESH","TESTMJ","AK0016","2","Singles","5",
"80","TESTMJ","AK0016",,,"TESTMJ","AK0016","6","Singles","5",
"81","TESTMJ","AK0016","MJ","RK","TESTMJ","AK0016","6","Singles","12",
"82","TESTMJ","PS1432","MJ","CS","TESTMJ","PS1432","2","Singles","9",
"83","DJ0002-TESTMJ","AA0025-AK0146","MJ-CJ","SA-RK","TESTMJ,DJ0002","AA0025,AK0146","2","Pairs","18",
"84","AS0134-PS1432","PD0611-PK0605","CS-SS","RK-VD","PS1432,AS0134","PK0605,PD0611","3","Pairs","9",
"85","PM1328","AM0104","SM","AM","PM1328","AM0104","4","Singles","18",
"86","AA0083-AS0134","AM0115-PS1488D1","SS-SA","BS-SM","AS0134,AA0083","PS1488D1,AM0115","3","Pairs","12",
